Name,Artist,Album,Track Number
Opening – The girl and three tramps,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,1
First seduction game: the shabby old rake,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,2
Second seduction game: the young student,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,3
Third seduction game,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,4
The Mandarin enters and remains immobile in the doorway,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,5
The girl begins a hesitant dance…,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,6
The Mandarin stumbles – the chase becomes even more passionate,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,7
"The three tramps leap out, seize the Mandarin and tear him away from the girl",Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,8
Suddenly the Mandarin’s head appears between the pillows and he looks longingly at the girl,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,9
The terrified tramps discuss how they are to get rid of the Mandarin,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,10
The body of the Mandarin begins to glow with a greenish blue light,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,11
She resists no longer – they embrace,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,12
I. Moderato,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,13
II. Allegro molto,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,14
III. Allegro vivace,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,15
IV. Molto tranquillo,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,16
V. Comodo - Finale,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,17
An Evening in the Village,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,18
Bear Dance,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,19
Melody,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,20
Slightly Tipsy,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,21
Swineherd's Dance,Béla Bartók,Bartok: The Miraculous Mandarin (Complete Ballet) / Hungarian Pictures / Dance Suite,22
Melody in A minor,Astor Piazzolla,"Piazzolla, A.: Orchestral Music - Libertango / Adios Nonino / Cierra Tus Ojos Escucha / Revirado / Oblivion",9
Crisantemi (version for string orchestra),Giacomo Puccini,Puccini (The Very Best Of),29
IV. Fugue,Ernest Bloch,Bloch: America - Concerto Grosso No. 1,7
III. Pastorale and Rustic Dances,Ernest Bloch,Bloch: America - Concerto Grosso No. 1,6
II. Dirge: Andante moderato,Ernest Bloch,Bloch: America - Concerto Grosso No. 1,5
I. Prelude: Allegro energico e pesante,Ernest Bloch,Bloch: America - Concerto Grosso No. 1,4
Summa for Strings,Arvo Pärt,Part (Eternal),1
Enigma Variations - Theme (Andante),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",1
Enigma Variations - Variation 1 (L'istesso tempo),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",2
Enigma Variations - Variation 2 (Allegro),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",3
Enigma Variations - Variation 3 (Allegretto),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",4
Enigma Variations - Variation 4 (Allegro di molto),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",5
Enigma Variations - Variation 5 (Moderato),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",6
